;country_name;suc_seq;byear;duration;init_polyarchy;v2mecenefi_ord_0;v2mecenefi_ord_1;v2mecenefi_ord_2;v2mecenefi_ord_3;v2meharjrn_ord_0;v2meharjrn_ord_1;v2meharjrn_ord_2;v2meharjrn_ord_3;v2meharjrn_ord_4;v2meslfcen_ord_0;v2meslfcen_ord_1;v2meslfcen_ord_2;v2meslfcen_ord_3;v2mebias_ord_0;v2mebias_ord_1;v2mebias_ord_2;v2mebias_ord_3;v2mebias_ord_4;v2mecrit_ord_0;v2mecrit_ord_1;v2mecrit_ord_2;v2mecrit_ord_3;v2merange_ord_0;v2merange_ord_1;v2merange_ord_2;v2merange_ord_3;v2cldiscm_ord_0;v2cldiscm_ord_1;v2cldiscm_ord_2;v2cldiscm_ord_3;v2cldiscm_ord_4;v2cldiscw_ord_0;v2cldiscw_ord_1;v2cldiscw_ord_2;v2cldiscw_ord_3;v2cldiscw_ord_4;v2clacfree_ord_0;v2clacfree_ord_1;v2clacfree_ord_2;v2clacfree_ord_3;v2clacfree_ord_4;v2psparban_ord_0;v2psparban_ord_1;v2psparban_ord_2;v2psparban_ord_3;v2psparban_ord_4;v2psbars_ord_0;v2psbars_ord_1;v2psbars_ord_2;v2psbars_ord_3;v2psbars_ord_4;v2psoppaut_ord_0;v2psoppaut_ord_1;v2psoppaut_ord_2;v2psoppaut_ord_3;v2psoppaut_ord_4;v2elmulpar_ord_0;v2elmulpar_ord_1;v2elmulpar_ord_2;v2elmulpar_ord_3;v2elmulpar_ord_4;v2cseeorgs_ord_0;v2cseeorgs_ord_1;v2cseeorgs_ord_2;v2cseeorgs_ord_3;v2cseeorgs_ord_4;v2csreprss_ord_0;v2csreprss_ord_1;v2csreprss_ord_2;v2csreprss_ord_3;v2csreprss_ord_4;e_v2x_suffr_5C_0;e_v2x_suffr_5C_1;e_v2x_suffr_5C_2;e_v2x_suffr_5C_3;e_v2x_suffr_5C_4;v2elembaut_ord_0;v2elembaut_ord_1;v2elembaut_ord_2;v2elembaut_ord_3;v2elembaut_ord_4;v2elembcap_ord_0;v2elembcap_ord_1;v2elembcap_ord_2;v2elembcap_ord_3;v2elembcap_ord_4;v2elrgstry_ord_1;v2elrgstry_ord_2;v2elrgstry_ord_3;v2elrgstry_ord_4;v2elvotbuy_ord_0;v2elvotbuy_ord_1;v2elvotbuy_ord_2;v2elvotbuy_ord_3;v2elvotbuy_ord_4;v2elirreg_ord_0;v2elirreg_ord_1;v2elirreg_ord_2;v2elirreg_ord_3;v2elirreg_ord_4;v2elintim_ord_0;v2elintim_ord_1;v2elintim_ord_2;v2elintim_ord_3;v2elintim_ord_4;v2elpeace_ord_0;v2elpeace_ord_1;v2elpeace_ord_2;v2elpeace_ord_3;v2elpeace_ord_4;v2elfrfair_ord_0;v2elfrfair_ord_1;v2elfrfair_ord_2;v2elfrfair_ord_3;v2elfrfair_ord_4
85;Peru;1;1979;1;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;NA;1;NA;NA;0;1;NA;NA;0;1;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;1;NA;NA;NA;NA;0;1;NA;NA;NA;0;1;NA;NA;NA;NA;0;NA;0;NA;1;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;NA
86;Peru;2;1996;4;1;NA;NA;NA;0;NA;0;4;NA;NA;NA;0;4;NA;NA;2;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;4;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;4;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;4;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA
87;Philippines;1;1982;6;0;NA;NA;NA;NA;NA;0;4;NA;NA;0;1;4;NA;NA;0;NA;4;5;NA;0;4;5;0;NA;4;5;NA;0;4;NA;5;NA;0;4;NA;5;0;4;NA;5;NA;NA;NA;0;4;NA;NA;NA;0;4;5;NA;NA;0;4;NA;NA;NA;NA;2;5;NA;0;4;5;NA;NA;0;4;NA;5;NA;NA;NA;NA;0;0;4;NA;5;NA;0;4;5;NA;NA;NA;NA;2;NA;2;5;NA;NA;NA;2;4;5;NA;NA;NA;2;NA;5;NA;4;NA;2;NA;NA;NA;2;NA;NA;5
88;Philippines;2;1992;3;2;NA;NA;NA;1;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;3;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA
89;Poland;1;1976;14;0;NA;NA;NA;NA;NA;0;NA;13;14;0;4;13;14;0;4;13;NA;14;0;4;13;NA;0;NA;13;14;NA;0;4;13;14;NA;0;4;13;14;NA;0;NA;13;14;0;NA;13;NA;14;NA;NA;0;13;14;0;13;NA;NA;14;0;NA;13;NA;14;NA;0;4;13;14;NA;6;0;4;14;NA;NA;NA;NA;0;0;NA;NA;NA;14;NA;NA;NA;13;0;NA;NA;0;13;NA;NA;13;0;NA;NA;0;4;NA;13;NA;0;NA;NA;13;NA;NA;NA;NA;0;0;NA;13;NA;14
90;Portugal;1;1970;8;0;NA;NA;NA;NA;NA;0;NA;4;NA;0;NA;4;5;0;NA;NA;NA;4;NA;0;4;6;0;NA;4;6;NA;0;NA;NA;4;NA;0;NA;NA;4;NA;0;NA;4;5;0;NA;4;NA;5;NA;0;NA;4;5;NA;0;NA;4;5;NA;NA;NA;3;6;NA;0;NA;4;5;NA;0;NA;4;5;NA;NA;NA;0;5;0;NA;4;5;NA;NA;0;NA;4;5;NA;NA;3;6;NA;3;5;NA;NA;NA;3;5;NA;NA;NA;NA;3;NA;5;NA;NA;NA;3;NA;NA;3;NA;5;NA
91;Romania;1;1971;25;0;NA;NA;NA;24;NA;0;19;20;NA;0;NA;NA;19;0;NA;NA;19;NA;0;NA;19;NA;NA;0;NA;19;0;NA;NA;NA;19;0;NA;NA;19;21;0;NA;NA;19;NA;0;NA;NA;NA;19;NA;0;NA;NA;19;0;18;NA;19;21;4;NA;NA;NA;19;0;NA;NA;19;25;0;NA;NA;19;NA;NA;NA;NA;NA;0;0;NA;19;25;NA;NA;NA;NA;0;NA;NA;NA;19;4;NA;NA;19;NA;4;NA;NA;25;19;4;NA;4;19;NA;NA;NA;NA;NA;19;4;4;NA;NA;19;25
92;Romania;2;2004;1;2;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA
93;Ṣo Tom̩ och Pr�_ncipe;1;1987;5;0;NA;NA;NA;NA;NA;0;3;NA;NA;NA;NA;0;NA;NA;0;NA;3;NA;NA;0;3;NA;0;NA;3;NA;NA;0;3;4;NA;NA;NA;0;3;NA;NA;NA;0;3;NA;NA;NA;0;NA;4;NA;NA;0;NA;4;3;NA;0;5;NA;NA;NA;NA;NA;4;NA;0;NA;4;NA;NA;NA;0;4;5;NA;NA;NA;NA;0;NA;0;3;4;NA;NA;NA;0;3;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;4;NA
94;Senegal;1;1974;19;1;NA;NA;NA;19;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;2;7;NA;NA;NA;0;NA;NA;0;6;7;NA;NA;NA;0;NA;NA;NA;0;2;NA;NA;NA;NA;NA;0;NA;NA;NA;0;8;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;4;NA;0;6;7;17;NA;NA;NA;0;8;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;18;NA;NA;4;19;NA;4;NA;NA;NA;NA;NA;4;19;NA;NA;NA;4;NA;NA;NA;19;4;9;NA;NA;NA;4;9;19
